condition,target_angle,letter_angle,flip,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,target.started,letter.started,participant,session,date,expName,psychopyVersion,frameRate,
mirrored,180,240,horiz,0,0,0,48,4.898533600000064,4.898533600000064,083098,001,2023-01-11_13h46.57.426,mental_rotation_bootcamp,2022.2.4,60.0343516560223,
mirrored,0,0,horiz,0,1,1,25,5.899191200000132,5.899191200000132,083098,001,2023-01-11_13h46.57.426,mental_rotation_bootcamp,2022.2.4,60.0343516560223,
mirrored,180,0,horiz,0,2,2,28,6.899198500000011,6.899198500000011,083098,001,2023-01-11_13h46.57.426,mental_rotation_bootcamp,2022.2.4,60.0343516560223,
same,60,120,0.0,0,3,3,11,7.898981000000049,7.898981000000049,083098,001,2023-01-11_13h46.57.426,mental_rotation_bootcamp,2022.2.4,60.0343516560223,
same,120,240,0.0,0,4,4,22,8.899004200000036,8.899004200000036,083098,001,2023-01-11_13h46.57.426,mental_rotation_bootcamp,2022.2.4,60.0343516560223,
same,180,120,0.0,0,5,5,13,9.899123300000156,9.899123300000156,083098,001,2023-01-11_13h46.57.426,mental_rotation_bootcamp,2022.2.4,60.0343516560223,
mirrored,60,120,horiz,0,6,6,36,10.899167100000113,10.899167100000113,083098,001,2023-01-11_13h46.57.426,mental_rotation_bootcamp,2022.2.4,60.0343516560223,
mirrored,120,60,horiz,0,7,7,32,11.899032900000066,11.899032900000066,083098,001,2023-01-11_13h46.57.426,mental_rotation_bootcamp,2022.2.4,60.0343516560223,
same,120,120,0.0,0,8,8,12,12.898899799999981,12.898899799999981,083098,001,2023-01-11_13h46.57.426,mental_rotation_bootcamp,2022.2.4,60.0343516560223,
same,180,60,0.0,0,9,9,8,13.899078300000156,13.899078300000156,083098,001,2023-01-11_13h46.57.426,mental_rotation_bootcamp,2022.2.4,60.0343516560223,
same,180,0,0.0,0,10,10,3,14.899142900000015,14.899142900000015,083098,001,2023-01-11_13h46.57.426,mental_rotation_bootcamp,2022.2.4,60.0343516560223,
mirrored,180,120,horiz,0,11,11,38,15.898988700000018,15.898988700000018,083098,001,2023-01-11_13h46.57.426,mental_rotation_bootcamp,2022.2.4,60.0343516560223,
same,120,180,0.0,0,12,12,17,16.89908289999994,16.89908289999994,083098,001,2023-01-11_13h46.57.426,mental_rotation_bootcamp,2022.2.4,60.0343516560223,
